主キー,問題,正解選択肢,その他選択肢1,その他選択肢2,その他選択肢3,ジャンル,難易度
243,VTuberのキャラクターデザインやモデリングを行う人の中で、特にLive2Dという技術を用いて、2Dのイラストを滑らかに動かす技術を持つ人を何と呼ぶことが多いでしょう？,Live2Dモデラー,3Dモデラー,イラストレーター,アニメーター,VTuber (バーチャルYouTuber),2
244,VTuberの活動ジャンルの一つであるゲーム実況において、特定のゲームタイトルを継続的にプレイし、その様子を配信する形式は何と呼ばれるでしょう？,シリーズ実況,単発実況,耐久配信,初見プレイ,VTuber (バーチャルYouTuber),2
245,VTuberの活動ジャンルの一つである雑談配信において、視聴者からのコメントを拾い、それに対してリアルタイムで返答する行為は何と呼ばれるでしょう？,コメント返し,リスナー参加型企画,お悩み相談,質問コーナー,VTuber (バーチャルYouTuber),1
246,VTuberの収益モデルであるスパチャ（スーパーチャット）は、YouTubeの機能の一つですが、Twitchにおける同様のシステムは何と呼ばれるでしょう？,Bits,投げ銭,ギフト,チャンネルポイント,VTuber (バーチャルYouTuber),2
247,VTuberのキャラクターで、2016年に活動を開始し、「バーチャルYouTuber」という言葉を広めるきっかけとなったパイオニア的存在は誰でしょう？,キズナアイ,ミライアカリ,電脳少女シロ,猫宮ひなた,VTuber (バーチャルYouTuber),2
248,VTuberの事務所で、にじさんじやホロライブプロダクションに所属するVTuberは、個人で活動するVTuberと比べて、どのような点で活動のサポートを受けやすいと言えるでしょう？,技術的なサポート（3Dモデル制作、配信機材など）,著作権管理,企業案件の獲得,イベント出演の機会,上記全て,VTuber (バーチャルYouTuber),2
249,VTuberの活動ジャンルの一つである歌ってみた動画において、他の人が制作した楽曲をカバーして歌う際に、原曲とは異なるアレンジを加えることは一般的ですか？,一般的である,ほとんどない,原曲に忠実なカバーが基本,許可が必要,VTuber (バーチャルYouTuber),2
250,VTuberのイベントで、複数のVTuberが出演してライブパフォーマンスやトークを行うものにおいて、観客が自宅などからオンラインで参加する形式は何と呼ばれるでしょう？,オンラインライブ,バーチャルイベント,リモートライブ,無観客ライブ,VTuber (バーチャルYouTuber),1
251,ソシャゲ（ソーシャルゲーム）のガチャにおいて、排出されるキャラクターやアイテムのレアリティを示す指標は何と呼ばれるでしょう？,レア度,星の数,ランク,グレード,ソシャゲ (ソーシャルゲーム),1
252,ソシャゲのジャンルの一つで、プレイヤーがカードやキャラクターを収集し、それらを組み合わせてデッキを構築し、他のプレイヤーと戦略的に戦うゲームは何と呼ばれるでしょう？,コレクション型カードバトル,デッキ構築型RPG,戦略カードゲーム,タクティカルバトル,ソシャゲ (ソーシャルゲーム),2
253,ソシャゲの運営において、ゲームバランスを調整したり、新たな機能を追加したりするために行われるプログラムの更新作業は何と呼ばれるでしょう？,アップデート,バージョンアップ,パッチ適用,システムメンテナンス,ソシャゲ (ソーシャルゲーム),2
254,ソシャゲのプレイヤー同士が協力してゲームを進める要素の一つであるレイドボスにおいて、参加者全員で協力してダメージを与え、制限時間内に撃破を目指す形式が一般的ですが、貢献度に応じて報酬が分配されるシステムは何と呼ばれるでしょう？,貢献度ランキング,ダメージランキング,討伐報酬,個人報酬,ソシャゲ (ソーシャルゲーム),2
255,ソシャゲのジャンルの一つで、同じ色のブロックやボールなどを3つ以上並べて消していくことでゲームを進めるものは何と呼ばれるでしょう？,マッチ3パズル,落ち物パズル,スライドパズル,連結パズル,ソシャゲ (ソーシャルゲーム),2
256,ソシャゲのプレイヤーが集まってチームやグループを作るシステムであるギルドにおいて、ギルドメンバー同士で協力して行うイベントやコンテンツは何と呼ばれるでしょう？,ギルドイベント,ギルドミッション,ギルドバトル,ギルドレイド,ソシャゲ (ソーシャルゲーム),2
257,ソシャゲのイベントで、特定の期間にログインするだけで、ゲーム内通貨やアイテムなどがプレゼントされるキャンペーンは何と呼ばれるでしょう？,ログインボーナス,カムバックキャンペーン,スタートダッシュキャンペーン,ウェルカムキャンペーン,ソシャゲ (ソーシャルゲーム),1
258,ソシャゲのジャンルの一つで、自分の領地や街を発展させていくシミュレーションゲームにおいて、他のプレイヤーの領地を攻撃して資源を奪う要素があるものは何と呼ばれるでしょう？,ストラテジーゲーム,リアルタイムストラテジー,対戦型シミュレーション,領地争奪ゲーム,ソシャゲ (ソーシャルゲーム),3
259,ソシャゲのゲームバランスを調整するために、特定のキャラクターの能力を意図的に弱体化させる対応は何と呼ばれるでしょう？,ナーフ,バフ,調整,修正,ソシャゲ (ソーシャルゲーム),2
260,ソシャゲのプレイヤーが、ゲーム内のガチャを引くために課金する場合、確率表示が義務付けられていることが多いですが、これは消費者を保護するためにどのような法律に基づいて行われているでしょう？,景品表示法,特定商取引法,消費者契約法,著作権法,ソシャゲ (ソーシャルゲーム),3
261,TCG（トレーディングカードゲーム）の基本的な遊び方において、自分のデッキから手札を引き、カードに書かれたコストを支払って場に出す行為は何と呼ばれるでしょう？,召喚,プレイ,展開,発動,TCG (トレーディングカードゲーム),1
262,TCGのカードの種類で、一度使うとゲームから取り除かれる使い切りのカードは何と呼ばれるでしょう？,インスタントカード,スペルカード,マジックカード,トラップカード,TCG (トレーディングカードゲーム),2
263,TCGのカードの希少性を示す指標で、パックの中に封入されている確率が最も低い、特別な加工が施されたカードは何と呼ばれることが多いでしょう？,シークレットレア,ウルトラレア,スーパーレア,レア,TCG (トレーディングカードゲーム),2
264,TCGのゲームを始めるために、あらかじめ構築されたカードのセットであるスターターデッキには、通常どのような種類のカードが含まれていますか？,基本的なカード、ルールブック、プレイマット,レアカード、強力な効果を持つカードのみ,特定のテーマに特化したカードのみ,過去の絶版カード,TCG (トレーディングカードゲーム),2
265,TCGのイベントで、参加者がその場で配布されたパックを開封し、その中から選んだカードでデッキを構築して対戦する形式の大会において、使用できるカードの種類や枚数に制限があるルールは何と呼ばれるでしょう？,リミテッド,構築済み,スタンダード,アンリミテッド,TCG (トレーディングカードゲーム),2
266,TCGのカードの状態を表す言葉で、目立った傷や汚れはないものの、わずかなスレや白欠けなどが見られる状態のカードは何と呼ばれるでしょう？,EX（エクセレント）,NM（ニアミント）,GD（グッド）,PL（プレイド）,TCG (トレーディングカードゲーム),3
267,TCGの対戦中に、カードの効果やルールについて不明な点があった場合に、ジャッジを呼ぶ行為は、競技性を高める上で重要な要素とされていますか？,はい,いいえ,場合による,ルールによる,TCG (トレーディングカードゲーム),1
268,TCGのカードを収集する楽しみの一つであるコレクションにおいて、同じカードの異なるイラストや加工違いのものを集める行為は何と呼ばれるでしょう？,バリアント収集,イラスト違いコンプ,パラレル収集,レアリティコンプ,TCG (トレーディングカードゲーム),3
269,TCGの大会やイベントで、参加者が自分のデッキを持ち込んで対戦する形式の大会において、使用できるカードの種類やレギュレーションが定められているルールは何と呼ばれるでしょう？,スタンダード,モダン,レガシー,ヴィンテージ,TCG (トレーディングカードゲーム),3
270,TCGのカードの価値は、希少性やカードの強さ以外に、どのような要因によって大きく変動することがありますか？,環境の変化による需要の増減,プロプレイヤーの使用率,アニメやゲームなどの関連作品の人気,カードのイラストレーターの人気,TCG (トレーディングカードゲーム),2
271,ボードゲーム・アナログゲームの種類で、サイコロの出目と自分の駒の配置によって相手の駒を盤面から取り除くことを目指す、二人用の戦略ゲームは何でしょう？,バックギャモン,チェス,将棋,オセロ,ボードゲーム・アナログゲーム,2
272,ボードゲーム・アナログゲームの種類で、相手の駒を自分の駒で挟んでひっくり返すゲーム「オセロ」は、日本で独自にルールが改良されて広まりましたが、その原型となったイギリスのゲームは何でしょう？,リバーシ,スパウト,アタック,アンテロープ,ボードゲーム・アナログゲーム,3
273,ボードゲーム・アナログゲームの種類で、相手のキングを詰めることを目的とした戦略ゲーム「チェス」において、最も強力な駒であり、縦横斜めに自由に動ける駒は何でしょう？,クイーン,ルーク,ビショップ,ナイト,ボードゲーム・アナログゲーム,2
274,ボードゲーム・アナログゲームの種類で、自分の陣地を広げたり、相手の陣地を囲んだりして陣地の広さを競うゲーム「囲碁」において、盤面が空いている場所に自由に置ける石は何と呼ばれるでしょう？,着手,打ち石,碁石,手番,ボードゲーム・アナログゲーム,2
275,ボードゲーム・アナログゲームの種類で、トランプを使ったゲーム「ポーカー」において、最も強い役とされる、同じスート（マーク）で数字が連続している5枚のカードの組み合わせは何でしょう？,ロイヤルストレートフラッシュ,ストレートフラッシュ,フォー・オブ・ア・カインド,フルハウス,ボードゲーム・アナログゲーム,3
276,ボードゲーム・アナログゲームの種類で、協力して与えられた目標を達成するゲームにおいて、プレイヤー同士が秘密裏に情報を交換したり、役割を隠したりする要素があるものは何と呼ばれるでしょう？,正体隠匿ゲーム,協力型推理ゲーム,裏切り者ゲーム,スパイゲーム,ボードゲーム・アナログゲーム,3
277,ボードゲーム・アナログゲームのイベント「ゲームマーケット」は、主にどのような種類のゲームが出展・販売されていますか？,同人制作のオリジナルゲーム,海外の輸入ゲーム,商業メーカーの新作ゲーム,ヴィンテージゲーム,ボードゲーム・アナログゲーム,2
278,ボードゲーム・アナログゲームの種類で、資源を集めたり、建物を建てたりして自分の文明を発展させるゲームにおいて、労働者を盤面に配置することで資源を獲得したり、アクションを実行したりするシステムは何と呼ばれるでしょう？,ワーカープレイスメント,リソースマネジメント,エンジンビルド,エリアコントロール,ボードゲーム・アナログゲーム,3
279,ボードゲーム・アナログゲームの種類で、参加者同士が役割を分担し、物語を進めていくゲームであるマーダーミステリーにおいて、各プレイヤーに与えられる秘密の目的や情報が書かれた冊子は何と呼ばれるでしょう？,ハンドアウト,シナリオブック,キャラクターシート,ゲームマスターガイド,ボードゲーム・アナログゲーム,3
280,ボードゲーム・アナログゲームの種類で、決められた時間内に、お題に対して連想される言葉などを言い合うゲームにおいて、回答者が多数派とは異なる言葉を言った場合にポイントを得られるゲームは何でしょう？,ワードバスケット,ito,テレストレーション,コヨーテ,ボードゲーム・アナログゲーム,3
281,SF映画の金字塔的作品「スター・ウォーズ」シリーズで、主人公ルーク・スカイウォーカーの父親である悪役の名前は何でしょう？,ダース・ベイダー,ダース・シディアス,ダース・モール,カイロ・レン,映画 (特定のジャンル、例えばSF、特撮など),2
282,SF映画の監督で、「ブレードランナー」や「エイリアン」など、暗く退廃的な世界観を描くことで知られるのは誰でしょう？,リドリー・スコット,スタンリー・キューブリック,ジョージ・ルーカス,スティーブン・スピルバーグ,映画 (特定のジャンル、例えばSF、特撮など),2
283,SF映画のジャンルの一つであるサイエンスフィクションにおいて、科学技術が高度に発達した社会における倫理的な問題や人間存在の意義などを深く掘り下げた作品群は何と呼ばれることが多いでしょう？,ハードSF,ソフトSF,テクノスリラー,ディストピアSF,映画 (特定のジャンル、例えばSF、特撮など),3
284,SF映画の特殊効果で、コンピュータグラフィックス（CG）技術を用いて、現実には存在しない映像を作り出す手法は何と呼ばれるでしょう？,CGI,VFX,SFX,アニマトロニクス,映画 (特定のジャンル、例えばSF、特撮など),2
285,SF映画のジャンルの一つであるスペースオペラにおいて、銀河規模の壮大なスケールで、国家間の対立や英雄的な冒険を描いた作品群の代表的な例は何でしょう？,スター・ウォーズ,エイリアン,ブレードランナー,2001年宇宙の旅,映画 (特定のジャンル、例えばSF、特撮など),2
286,SF映画のジャンルの一つであるサイバーパンクにおいて、情報技術が高度に発達した一方で、貧富の差が拡大し、管理社会となった暗い未来を描いた作品の代表的な例は何でしょう？,ブレードランナー,ターミネーター,マトリックス,スター・ウォーズ,映画 (特定のジャンル、例えばSF、特撮など),2
287,SF映画のジャンルの一つであるポスト・アポカリプスにおいて、文明崩壊後の荒廃した世界で生き残った人々の過酷な生活を描いた作品の代表的な例は何でしょう？,マッドマックス,スター・ウォーズ,ブレードランナー,2001年宇宙の旅,映画 (特定のジャンル、例えばSF、特撮など),2
288,SF映画のジャンルの一つであるタイムトラベルにおいて、過去や未来へ時間旅行をする際に生じる矛盾やパラドックスを描いた作品の代表的な例は何でしょう？,バック・トゥ・ザ・フューチャー,ターミネーター,インターステラー,時をかける少女,映画 (特定のジャンル、例えばSF、特撮など),3
289,SF映画の金字塔的作品「ターミネーター」シリーズで、未来から送り込まれる殺人アンドロイドであるターミネーターを演じた俳優は誰でしょう？,アーノルド・シュワルツェネッガー,シルベスター・スタローン,ブルース・ウィリス,ハリソン・フォード,映画 (特定のジャンル、例えばSF、特撮など),2
290,SF映画のイベントで、SF映画の上映だけでなく、特殊メイクやプロップの展示、SF作家や映画監督のトークショーなど、SF文化全般を楽しむことができる大規模なイベントは何でしょう？,コミコン,東京国際ファンタスティック映画祭,ゆうばり国際ファンタスティック映画祭,SF映画祭,映画 (特定のジャンル、例えばSF、特撮など),2
291,アニメの主題歌や挿入歌など、アニメ作品に関連する楽曲で、特に作品の世界観やキャラクターの感情を強く表現し、ファンに長く愛される名曲は何と呼ばれることが多いでしょう？,神曲,代表曲,主題歌,挿入歌,音楽 (アニソン、ゲーソンなど),2
292,ゲームの主題歌やBGMなど、ゲーム作品に関連する楽曲で、ゲームの雰囲気を盛り上げたり、プレイヤーの感情を揺さぶったりする印象的な楽曲は何と呼ばれることが多いでしょう？,名曲,代表曲,テーマソング,BGM,音楽 (アニソン、ゲーソンなど),2
293,アニソンの歌手で、「創聖のアクエリオン」の主題歌を歌い、その独特な歌唱法で知られるのは誰でしょう？,AKINO from bless4,水木一郎,堀江美都子,影山ヒロノブ,音楽 (アニソン、ゲーソンなど),3
294,ゲーソンのジャンルの一つで、格闘ゲームの対戦中に流れる、プレイヤーの闘志を燃え上がらせるような激しいBGMは何と呼ばれるでしょう？,対戦BGM,バトルテーマ,格闘曲,戦闘BGM,音楽 (アニソン、ゲーソンなど),2
295,アニソンのイベント「Animelo Summer Live」は、毎年夏に開催される大規模なアニソンライブですが、会場となることが多いのはどこでしょう？,さいたまスーパーアリーナ,日本武道館,東京ドーム,横浜アリーナ,音楽 (アニソン、ゲーソンなど),2
296,ゲーソンの歌手で、「ポケットモンスター」シリーズのアニメやゲームの主題歌を多数歌っていることで知られるのは誰でしょう？,松本梨香,影山ヒロノブ,奥井雅美,高橋洋子,音楽 (アニソン、ゲーソンなど),3
297,アニソンのジャンルの一つで、アニメのエンディングテーマとして、作品の余韻を残しつつ、物語を締めくくる役割を持つ楽曲は、どのような雰囲気のものが多いでしょう？,しっとりとしたバラード調,アップテンポで明るい曲調,激しいロック調,コミカルな曲調,音楽 (アニソン、ゲーソンなど),2
298,ゲーソンのイベントで、オーケストラによる演奏でゲーム音楽を堪能できるコンサートシリーズとして、日本国内で長年開催されているものは何でしょう？,ゲーム音楽コンサート,PRESS START,EXTRA,THE SYMPHONY,音楽 (アニソン、ゲーソンなど),3
299,アニソンのジャンルの一つで、アニメのキャラクターが自身の心情や状況を歌った楽曲は、作品のファンにとって特別な意味を持つことが多いですが、これは何と呼ばれるでしょう？,キャラクターソング,イメージソング,挿入歌,主題歌,音楽 (アニソン、ゲーソンなど),1
300,ゲーソンのジャンルの一つで、ロールプレイングゲーム（RPG）の広大な世界を冒険する際に流れる、壮大で美しいBGMは何と呼ばれるでしょう？,フィールド曲,戦闘曲,イベント曲,ダンジョン曲,音楽 (アニソン、ゲーソンなど),2
301,ガジェットの中でも、特に技術的な革新性や斬新なアイデアが盛り込まれた、人々の生活を便利にする小型の電子機器を指す言葉として、近年よく使われるのは何でしょう？,スマートガジェット,ウェアラブルデバイス,モバイルガジェット,デジタルガジェット,ガジェット・メカニック,2
302,メカニックの分野で、機械の設計において、3次元の形状をコンピュータ上で作成し、視覚的に確認したり、解析したりする技術は何と呼ばれるでしょう？,3D CAD,2D CAD,CAM,CAE,ガジェット・メカニック,2
303,ガジェットの種類で、スマートフォンに取り付けて、より本格的な写真撮影や動画撮影を可能にするための外部機器は何と呼ばれるでしょう？,スマホ用ジンバル,スマホ用三脚,スマホ用外付けマイク,スマホ用照明,ガジェット・メカニック,3
304,メカニックの分野で、自動車や航空機などのエンジンにおいて、燃料と空気の混合気をシリンダー内で爆発させ、そのエネルギーを回転運動に変える機構は何と呼ばれるでしょう？,内燃機関,外燃機関,ロータリーエンジン,タービンエンジン,ガジェット・メカニック,3
305,ガジェットの種類で、耳を塞がずに骨の振動で音を伝えることで、周囲の音を聞きながら音楽を楽しめるイヤホンは何と呼ばれるでしょう？,骨伝導イヤホン,ワイヤレスイヤホン,ノイズキャンセリングイヤホン,カナル型イヤホン,ガジェット・メカニック,2
306,メカニックの分野で、機械の運動や状態を自動的に制御するための理論や技術を扱う学問は何と呼ばれるでしょう？,制御工学,機械力学,材料力学,熱力学,ガジェット・メカニック,2
307,ガジェットの種類で、腕に装着して、健康管理や運動の記録、スマートフォンの通知機能などを利用できる小型のウェアラブルデバイスは何と呼ばれるでしょう？,スマートウォッチ,フィットネストラッカー,スマートバンド,ウェアラブルセンサー,ガジェット・メカニック,1
308,メカニックの分野で、機械を構成する材料の強度や耐久性、変形などの性質を研究する学問は何と呼ばれるでしょう？,材料力学,機械設計学,熱力学,流体工学,ガジェット・メカニック,2
309,ガジェットの種類で、現実の風景にコンピュータが生成した映像を重ねて表示することで、現実世界を拡張する技術を用いたヘッドマウントディスプレイは何と呼ばれるでしょう？,ARグラス（拡張現実グラス）,VRヘッドセット（仮想現実ヘッドセット）,スマートグラス,MRヘッドセット（複合現実ヘッドセット）,ガジェット・メカニック,3
310,メカニックの分野で、コンピュータで設計した3次元モデルのデータを基に、切削などの加工機械を制御して部品を製造する技術は何と呼ばれるでしょう？,CNC（コンピュータ数値制御）,CAD/CAM,3Dプリンティング,NC旋盤,ガジェット・メカニック,3
